Name,Rtg,Pos,Club,League,Nationality,DIV,HAN,KIC,REF,SPE,POS,WF,Skill
Jan-Christoph Bartels,60,GK,SV Waldhof Mannheim 07,3. Liga,GER,63,61,59,60,25,61,2,1
Guillermo Pozos,60,GK,Club León,LIGA BBVA MX,MEX,62,63,65,63,40,58,3,1
Matthis Harsman,60,GK,SV Meppen,3. Liga,GER,62,61,61,62,33,60,3,1
Constantin Frommann,60,GK,Sport-Club Freiburg,Bundesliga,GER,62,59,64,62,37,55,3,1
Luis Ingolotti,60,GK,Club Atlético Aldosivi,Primera División,ARG,61,58,55,62,31,60,2,1
Bartłomiej Żynel,60,GK,Wisła Płock,PKO Ekstraklasa,POL,60,59,55,61,27,58,2,1
JT Marcinkowski,60,GK,San Jose Earthquakes,MLS,USA,64,60,66,63,22,56,2,1
Masaaki Goto,60,GK,Shonan Bellmare,Meiji Yasuda J1,JAP,62,57,52,65,24,54,3,1
Kenshin Yoshimaru,60,GK,Vissel Kobe,Meiji Yasuda J1,JAP,64,57,55,62,18,56,2,1
Sonny Laiton,60,GK,AJ Auxerre,Ligue 2 BKT,FRA,57,59,53,59,48,56,2,1
Karol Niemczycki,60,GK,Cracovia,PKO Ekstraklasa,POL,60,59,55,62,26,59,3,1
Valera,60,GK,SD Huesca,LaLiga Santander,ESP,61,56,46,61,38,64,2,1
Didier Desprez,60,GK,RC Lens,Ligue 1 Uber Eats,FRA,60,56,54,61,24,58,3,1
Jamie Cumming,60,GK,Stevenage,EFL League Two,ENG,62,57,56,63,24,58,2,1
Ryan Schofield,60,GK,Huddersfield Town,EFL Championship,ENG,62,59,59,62,30,58,2,1
Vasilios Xenopoulos,60,GK,Panathinaikos FC,Hellas Liga,GRE,65,57,50,63,28,57,3,1
Ellery Balcombe,60,GK,Brentford,EFL Championship,ENG,59,57,55,65,40,59,3,1
Andy Fisher,60,GK,Blackburn Rovers,EFL Championship,ENG,64,59,61,64,34,58,3,1
Federico Costa,60,GK,Patronato,Primera División,ARG,62,57,55,63,28,56,2,1
Goro Kawanami,60,GK,Vegalta Sendai,Meiji Yasuda J1,JAP,60,63,55,56,24,58,2,1
Daniel Margush,60,GK,Perth Glory,A-League,AUS,57,61,57,61,30,60,2,1
Dean Lyness,60,GK,St. Mirren,Scottish Prem,ENG,60,60,56,62,54,58,2,1
Lewis Thomas,60,GK,Forest Green Rovers,EFL League Two,WAL,60,58,57,63,57,58,3,1
Hwang ByeongGeun,60,GK,Sangju Sangmu FC,K League 1,KOR,62,57,56,62,26,57,2,1
Amund Wichne,60,GK,IK Start,Eliteserien,NOR,62,53,56,62,45,58,3,1
Marko Johansson,60,GK,Malmö FF,Allsvenskan,SWE,58,60,59,63,41,59,2,1
Maksymilian Stryjek,60,GK,Livingston FC,Scottish Prem,POL,60,59,56,60,42,57,2,1
Rory Watson,60,GK,Scunthorpe United,EFL League Two,ENG,57,57,55,63,43,60,2,1
Zhang ZhenQiang,60,GK,Shijiazhuang Ever Bright FC,CSL,CPR,63,52,63,64,51,55,3,1
Michael Crowe,60,GK,Viking FK,Eliteserien,WAL,57,60,58,58,44,60,2,1
Marko Soldo,60,GK,RZ Pellets Wolfsberger AC,Ö. Bundesliga,AT,58,62,59,60,44,58,2,1
Stephen McGuinness,60,GK,Bohemian FC,SSE Airtricity Lge,IRL,61,60,58,60,51,58,2,1
Abdullah Al Saleh,60,GK,Ettifaq FC,MBS Pro League,SAR,61,57,61,59,48,60,2,1
Basim Al Baqi,60,GK,Al Ahli,MBS Pro League,SAR,59,57,55,58,47,64,2,1
Hussain Shaian,60,GK,Al Taawoun,MBS Pro League,SAR,61,57,55,63,48,58,2,1
Danny Rogers,60,GK,Kilmarnock,Scottish Prem,IRL,61,60,61,62,45,58,3,1
Francesco Rossi,60,GK,Atalanta,Serie A TIM,ITA,62,60,62,60,22,58,2,1
Hou Sen,60,GK,Beijing Sinobo Guoan FC,CSL,CPR,58,53,56,62,43,62,1,1
Shunsuke Ando,60,GK,Kawasaki Frontale,Meiji Yasuda J1,JAP,58,53,52,60,43,65,3,1
Steven Deana,60,GK,MSV Duisburg,3. Liga,SUI,63,60,56,62,54,56,3,1
Mark McNulty,60,GK,Cork City,SSE Airtricity Lge,IRL,60,61,54,57,34,60,2,1
Brian Murphy,60,GK,Waterford FC,SSE Airtricity Lge,IRL,61,57,55,60,33,62,1,1
Peter Cherrie,60,GK,Derry City,SSE Airtricity Lge,SCO,58,58,59,60,22,61,2,1
Luke McCormick,60,GK,Plymouth Argyle,EFL League One,ENG,55,58,62,53,32,62,4,1
Max Crocombe,59,GK,Melbourne Victory,A-League,NZL,59,57,56,60,47,57,2,1
Nikos Christogeorgos,59,GK,Panathinaikos FC,Hellas Liga,GRE,63,64,48,66,26,46,2,1
Simon Ngapandouetnbu,59,GK,Olympique de Marseille,Ligue 1 Uber Eats,CAM,62,58,59,66,23,54,3,1
Shu Mogi,59,GK,Cerezo Osaka,Meiji Yasuda J1,JAP,60,55,57,62,31,54,2,1
Till Brinkmann,59,GK,SC Verl,3. Liga,GER,60,62,61,57,23,56,2,1
Dimitar Mitov,59,GK,Cambridge United,EFL League Two,BUL,66,56,57,62,61,55,3,1
Sebastián Fassi,59,GK,Club Necaxa,LIGA BBVA MX,MEX,65,53,58,66,62,51,3,1
Francois-Joseph Sollacaro,59,GK,AC Ajaccio,Ligue 2 BKT,FRA,62,54,57,66,44,53,2,1
Mory Diaw,59,GK,Lausanne-Sport,RSL,FRA,59,56,56,61,43,57,2,1
Max Crocombe,59,GK,Brisbane Roar,A-League,NZL,59,57,56,60,47,57,2,1
Dušan Melichárek,59,GK,Malmö FF,Allsvenskan,CZ,62,53,56,64,25,58,2,1
Niclas Thiede,59,GK,SC Verl,3. Liga,GER,63,56,57,60,44,54,4,1
Timon Weiner,59,GK,Holstein Kiel,Bundesliga 2,GER,60,57,60,63,50,56,4,1
Joel Dixon,59,GK,Bolton Wanderers,EFL League Two,ENG,57,59,60,58,29,60,3,1
Diant Ramaj,59,GK,Eintracht Frankfurt,Bundesliga,GER,64,57,56,64,24,57,3,1
Daniel Bielica,59,GK,Górnik Zabrze,PKO Ekstraklasa,POL,58,61,58,60,38,56,2,1
Callum Burton,59,GK,Plymouth Argyle,EFL League One,ENG,63,57,61,60,42,58,3,1
Habib Al Watyan,59,GK,Al Hilal,MBS Pro League,SAR,57,59,52,59,48,57,3,1
Cosmin Dur-Bozoancă,59,GK,FC Viitorul Constanța,Liga I,ROM,54,58,60,64,46,59,1,1
Joel Dixon,59,GK,Barrow,EFL League Two,ENG,57,59,60,58,29,60,3,1
Renato Josipović,59,GK,Dinamo Zagreb,Liga Hrvatska,CRO,62,58,54,60,31,56,3,1
Luis Castillo,59,GK,Elche CF,LaLiga Santander,ESP,61,62,61,63,28,59,3,1
Youri Schoonderwaldt,59,GK,ADO Den Haag,Eredivisie,NED,59,59,55,57,20,58,1,1
Niclas Thiede,59,GK,Sport-Club Freiburg,Bundesliga,GER,63,56,57,60,44,54,4,1
Lee Gwang Yeon,59,GK,Gangwon FC,K League 1,KOR,57,60,49,61,23,59,2,1
Andrei Ureche,59,GK,FC Academica Clinceni,Liga I,ROM,58,59,59,61,28,60,2,1
Otto Hindrich,59,GK,FC CFR 1907 Cluj,Liga I,ROM,59,60,55,61,26,58,2,1
Diant Ramaj,59,GK,1. FC Heidenheim 1846,Bundesliga 2,GER,64,57,56,64,24,57,3,1
Thomas Hasal,59,GK,Vancouver Whitecaps FC,MLS,CAN,62,50,47,62,17,59,1,1
Sofiane Bouzian,59,GK,KV Mechelen,1A Pro League,BEL,58,63,55,61,26,61,3,1
Matt Freese,59,GK,Philadelphia Union,MLS,USA,63,59,56,62,29,59,2,1
Patrik Gunnarsson,59,GK,Brentford,EFL Championship,ICE,60,57,62,65,23,61,3,1
Karol Szymański,59,GK,Piast Gliwice,PKO Ekstraklasa,POL,61,59,60,58,24,56,3,1
Daniel Bielica,59,GK,Warta Poznań,PKO Ekstraklasa,POL,58,61,58,60,38,56,2,1
Timon Weiner,59,GK,1. FC Magdeburg,3. Liga,GER,60,57,60,63,50,56,4,1
Matti Kamenz,59,GK,FSV Zwickau,3. Liga,GER,64,59,59,58,31,56,3,1
Tsubasa Shibuya,59,GK,Nagoya Grampus,Meiji Yasuda J1,JAP,59,57,64,59,28,58,2,1
Michael Cooper,59,GK,Plymouth Argyle,EFL League One,ENG,59,60,57,58,30,58,3,1
Bram Verbong,59,GK,VVV-Venlo,Eredivisie,NED,62,60,61,59,26,54,2,1
Joël Kiassumbua,59,GK,Servette FC,RSL,DRC,64,53,51,63,40,56,1,1
Maximilian Engl,59,GK,Türkgücü,3. Liga,GER,61,52,60,60,33,58,3,1
Abdul Manaf Nurudeen,59,GK,KAS Eupen,1A Pro League,GHA,65,57,58,63,22,53,3,1
Brylon Petersen,59,GK,Kaizer Chiefs,South African FL,SAF,65,57,60,62,26,57,3,1
Haruhiko Takimoto,59,GK,Kashiwa Reysol,Meiji Yasuda J1,JAP,62,57,59,64,19,53,3,1
Habib Al Watyan,59,GK,Al Fateh,MBS Pro League,SAR,57,59,52,59,48,57,3,1
Liam Bossin,59,GK,Cork City,SSE Airtricity Lge,IRL,59,57,55,60,46,57,3,1
Mathew Hudson,59,GK,Preston North End,EFL Championship,ENG,58,59,53,58,46,60,3,1
Ahmad Al Ruhaili,59,GK,Al Raed,MBS Pro League,SAR,62,60,52,56,43,57,3,1
Esteban Salles,59,GK,Grenoble Foot 38,Ligue 2 BKT,FRA,61,56,56,62,25,55,2,1
Callum Burton,59,GK,Cambridge United,EFL League Two,ENG,63,57,61,60,42,58,3,1
Thomas Hagelskjær,59,GK,Vejle Boldklub,3F Superliga,DEN,58,56,61,61,38,59,2,1
David Richards,59,GK,Crewe Alexandra,EFL League One,WAL,60,55,56,61,35,57,2,1
Lewis Italiano,59,GK,Newcastle Jets,A-League,AUS,61,58,58,59,32,58,2,1
Kim Da Sol,59,GK,Suwon Samsung Bluewings,K League 1,KOR,59,59,61,56,39,60,3,1
Mark Halstead,59,GK,Morecambe,EFL League Two,ENG,61,59,63,57,49,56,2,1
Yang Qipeng,59,GK,Tianjin TEDA FC,CSL,CPR,57,55,61,58,41,59,1,1
Michael Gurski,59,GK,SpVgg Unterhaching,3. Liga,GER,53,63,38,57,26,62,3,1
Sam Russell,59,GK,Grimsby Town,EFL League Two,ENG,56,60,58,58,31,60,3,1
Dillon Barnes,58,GK,Burton Albion,EFL League One,ENG,61,56,54,61,59,55,3,1
Dillon Barnes,58,GK,Queens Park Rangers,EFL Championship,ENG,61,56,54,61,59,55,3,1
George Micle,58,GK,FC Argeș,Liga I,ROM,63,52,54,62,22,51,2,1
Jordi van Stappershoef,58,GK,Bristol Rovers,EFL League One,NED,59,55,56,62,32,57,2,1
Malcolm Barcola,58,GK,Olympique Lyonnais,Ligue 1 Uber Eats,TOG,59,54,50,63,24,59,3,1
Dominik Sváček,58,GK,Viktoria Plzeň,Česká Liga,CZ,52,57,59,67,27,54,2,1
Lévi Ntumba,58,GK,Dijon FCO,Ligue 1 Uber Eats,FRA,58,55,56,62,23,55,2,1
Adam Pearce,58,GK,Central Coast Mariners,A-League,AUS,60,63,60,58,37,50,2,1
Frederik Schram,58,GK,Lyngby BK,3F Superliga,ICE,59,56,60,58,42,54,2,1
Dillon Barnes,58,GK,Hibernian,Scottish Prem,ENG,61,56,54,61,59,55,3,1
Liu Zhenli,58,GK,Qingdao Huanghai FC,CSL,CPR,59,59,56,54,51,59,2,1
Mirel Bolboașă,58,GK,AFC Astra Giurgiu,Liga I,ROM,56,60,55,57,35,58,2,1
Yakup Mert Çakır,58,GK,Antalyaspor,Süper Lig,TUR,57,61,59,57,21,54,2,1
Jorge Vieira,58,GK,Mjøndalen IF,Eliteserien,POR,62,61,53,58,21,55,3,1
Konstantinos Tzolakis,58,GK,Olympiacos CFP,Hellas Liga,GRE,61,56,50,62,29,51,2,1
Teodor Axinte,58,GK,CSM Politehnica Iași,Liga I,ROM,59,58,53,58,17,56,2,1
Omer Hanin,58,GK,1. FSV Mainz 05,Bundesliga,ISR,62,52,54,63,34,55,4,1
Horațiu Moldovan,58,GK,UTA Arad,Liga I,ROM,57,57,61,57,40,56,2,1
Thomas Secchi,58,GK,Rodez Aveyron Football,Ligue 2 BKT,FRA,61,54,55,62,31,56,2,1
Kim Tae Gon,58,GK,GwangJu FC,K League 1,KOR,56,58,56,56,45,57,3,1
Guo Wei,58,GK,Shenzhen Kaisa,CSL,CPR,60,58,61,56,22,62,2,1
Choi Young Eun,58,GK,Daegu FC,K League 1,KOR,58,58,47,61,19,54,2,1
Leon Schaffran,58,GK,SpVgg Greuther Fürth,Bundesliga 2,GER,62,61,59,55,28,56,3,1
Kasper Thiesson Kristensen,58,GK,Aarhus AGF,3F Superliga,DEN,61,55,60,59,28,58,2,1
Killian Le Roy,58,GK,FC Chambly Oise,Ligue 2 BKT,FRA,58,58,59,59,33,59,2,1
Max Sprang,58,GK,FSV Zwickau,3. Liga,GER,58,61,57,54,17,53,3,1
Abdulsamed Damlu,58,GK,Yeni Malatyaspor,Süper Lig,TUR,57,60,53,58,24,55,2,1
Lee Jun,58,GK,Pohang Steelers,K League 1,KOR,62,56,63,62,26,60,2,1
Shunta Awaka,58,GK,Hokkaido Consadole Sapporo,Meiji Yasuda J1,JAP,56,59,54,58,30,53,2,1
Jonas Dakir,58,GK,Randers FC,3F Superliga,DEN,59,56,53,58,18,57,3,1
Michael Fabrie,58,GK,Sparta Rotterdam,Eredivisie,NED,55,56,63,60,21,60,1,1
Franco Pizzicanella,58,GK,Atlético Tucumán,Primera División,ARG,57,58,61,56,34,53,2,1
Kei Ishikawa,58,GK,Gamba Osaka,Meiji Yasuda J1,JAP,59,60,55,59,22,51,2,1
Sam Hornby,58,GK,Bradford City,EFL League Two,ENG,60,58,61,60,46,57,2,1
Magnus Norman,58,GK,Carlisle United,EFL League Two,ENG,58,60,55,56,25,56,3,1
Rafał Leszczyński,58,GK,Podbeskidzie,PKO Ekstraklasa,POL,62,54,58,59,38,56,4,1
Dawood Al Saeed,58,GK,Al Hazem,MBS Pro League,SAR,60,55,56,59,39,57,2,1
Aaron McCarey,58,GK,Dundalk,SSE Airtricity Lge,IRL,59,55,57,60,35,56,2,1
Zhou Yajun,58,GK,Shenzhen Kaisa,CSL,CPR,57,57,52,58,51,59,3,1
Han Feng,58,GK,Shijiazhuang Ever Bright FC,CSL,CPR,59,55,58,57,51,55,2,1
Fahad Al Shammari,58,GK,Al Fayha,MBS Pro League,SAR,58,56,55,60,30,57,3,1
Jan de Boer,57,GK,FC Groningen,Eredivisie,NED,58,55,57,55,18,58,2,1
Andrei Cristea,57,GK,CS Gaz Metan Mediaș,Liga I,ROM,58,59,59,58,24,52,2,1
Yahia Fofana,57,GK,Havre AC,Ligue 2 BKT,FRA,61,55,54,58,41,60,3,1
Justin Vom Steeg,57,GK,LA Galaxy,MLS,USA,59,60,54,57,27,52,3,1
Nikola Tzanev,57,GK,AFC Wimbledon,EFL League One,NZL,57,55,54,59,46,55,1,1
Liu Weiguo,57,GK,Guangzhou Evergrande Taobao FC,CSL,CPR,58,50,60,59,49,58,3,1
Rene Gilmartin,57,GK,Bristol City,EFL Championship,IRL,63,56,56,57,53,56,3,1
Carl Klaus,57,GK,1. FC Nürnberg,Bundesliga 2,GER,57,60,58,53,26,56,2,1
Ianoș Brînză,57,GK,AFC Botoșani,Liga I,MDA,57,58,57,60,35,54,2,1
Aidan Stone,57,GK,Port Vale,EFL League Two,ENG,61,55,61,56,36,54,3,1
Billy Crellin,57,GK,Fleetwood Town,EFL League One,ENG,58,56,57,60,33,55,3,1
Kim Jung Ho,57,GK,Gangwon FC,K League 1,KOR,59,59,49,59,25,55,2,1
James Delianov,57,GK,Adelaide United,A-League,AUS,56,58,59,58,25,57,3,1
Mihai Cotolan,57,GK,FC Voluntari,Liga I,ROM,59,56,58,58,37,53,2,1
Héctor Holguín,57,GK,Santos Laguna,LIGA BBVA MX,USA,55,55,52,56,50,60,3,1
Eduardo Bravo,57,GK,Gallos Blancos de Querétaro,LIGA BBVA MX,MEX,58,55,60,60,29,58,3,1
Justin Ospelt,57,GK,FC Vaduz,RSL,LIE,60,56,55,57,49,55,3,1
Rik Vercauteren,57,GK,RSC Anderlecht,1A Pro League,BEL,62,53,57,62,21,52,3,1
Taiki Yamada,57,GK,Kashima Antlers,Meiji Yasuda J1,JAP,58,52,53,63,22,58,2,1
Ilias Karargyris,57,GK,Olympiacos CFP,Hellas Liga,GRE,65,52,56,55,32,51,2,1
Senne Lammens,57,GK,Club Brugge KV,1A Pro League,BEL,64,56,49,63,21,43,3,1
Stefano Turati,57,GK,Sassuolo,Serie A TIM,ITA,62,51,49,60,26,55,3,1
Kim Jung Ho,57,GK,Busan IPark,K League 1,KOR,59,59,49,59,25,55,2,1
Mike Grim,57,GK,RKC Waalwijk,Eredivisie,NED,58,59,53,55,16,58,3,1
Carl Klaus,57,GK,SV Darmstadt 98,Bundesliga 2,GER,57,60,58,53,26,56,2,1
Jens Craenmehr,57,GK,VVV-Venlo,Eredivisie,NED,55,60,58,56,30,56,3,1
Connor van den Berg,57,GK,Willem II,Eredivisie,NED,56,58,54,56,24,57,2,1
Ángel Fraga,57,GK,CD Lugo,LaLiga SmartBank,ESP,59,60,56,61,38,52,3,1
Ianoș Brînză,57,GK,CSM Politehnica Iași,Liga I,MDA,57,58,57,60,35,54,2,1
Ouparine Djoco,57,GK,Clermont Foot 63,Ligue 2 BKT,FRA,60,58,53,59,27,54,2,1
Ryan Bouallak,57,GK,ESTAC Troyes,Ligue 2 BKT,FRA,55,54,53,58,20,59,3,1
Simon Beccari,57,GK,WSG Swarovski Tirol,Ö. Bundesliga,ITA,57,55,52,58,39,55,2,1
Michael Luyambula,57,GK,VfB Lübeck,3. Liga,DRC,60,58,57,61,23,57,2,1
Oliver Petersen,57,GK,Molde FK,Eliteserien,NOR,60,59,58,60,30,56,3,1
Jeon Jong Hyeok,57,GK,Seongnam FC,K League 1,KOR,60,55,55,60,24,57,3,1
Kim Min Ho,57,GK,Sagan Tosu,Meiji Yasuda J1,KOR,57,55,53,58,32,55,2,1
Luis Barraza,57,GK,New York City FC,MLS,USA,54,60,59,56,22,53,3,1
Wilfried Bedfian,57,GK,Châteauroux,Ligue 2 BKT,FRA,57,58,53,59,31,52,3,1
Carlos Moreno,57,GK,Pachuca,LIGA BBVA MX,MEX,59,59,61,57,29,55,3,1
Manuel Gasparini,57,GK,Udinese,Serie A TIM,ITA,57,56,51,60,44,50,3,1
Aidan Stone,57,GK,Mansfield Town,EFL League Two,ENG,61,55,61,56,36,54,3,1
Takumi Nagaishi,57,GK,Cerezo Osaka,Meiji Yasuda J1,JAP,61,51,49,58,36,56,3,1
Will Dennis,57,GK,AFC Bournemouth,EFL Championship,ENG,59,56,57,58,33,56,3,1
Abdulquddus Attiah,57,GK,Al Wehda,MBS Pro League,SAR,61,56,51,64,30,52,3,1
Billy Crellin,57,GK,Bolton Wanderers,EFL League Two,ENG,58,56,57,60,33,55,3,1
Tomás Durso,57,GK,Gimnasia y Esgrima La Plata,Primera División,ARG,60,56,55,59,26,58,3,1
Cameron Yates,57,GK,Wycombe Wanderers,EFL Championship,SCO,58,57,56,59,45,57,2,1
James Delianov,57,GK,Western United FC,A-League,AUS,56,58,59,58,25,57,3,1
Hubert Gostomski,57,GK,Jagiellonia Białystok,PKO Ekstraklasa,POL,54,56,50,61,20,59,2,1
Marwan Al Haidari,57,GK,Al Shabab,MBS Pro League,SAR,55,58,55,55,31,58,3,1
Aubin Long,57,GK,FC Sochaux-Montbéliard,Ligue 2 BKT,FRA,61,62,53,56,20,53,3,1
Sam Sargeant,57,GK,Leyton Orient,EFL League Two,ENG,59,57,55,58,45,56,3,1
Mansour Jawhar,57,GK,Abha Club,MBS Pro League,SAR,56,58,53,57,44,57,3,1
Wang Guoming,57,GK,Henan Jianye FC,CSL,CPR,58,55,56,59,48,58,1,1
Sun Le,57,GK,Shanghai SIPG FC,CSL,CPR,58,55,54,58,43,53,1,1
Kjetil Haug,57,GK,Vålerenga Fotball,Eliteserien,NOR,59,56,54,57,45,54,2,1
Harry Isted,57,GK,Luton Town,EFL Championship,ENG,61,55,56,60,35,53,3,1
Mohammed Al Wakid,57,GK,Al Hilal,MBS Pro League,SAR,58,57,53,55,42,55,3,1
Enzo Basilio,57,GK,En Avant Guingamp,Ligue 2 BKT,FRA,59,52,48,63,45,51,3,1
Alexander Nadj,57,GK,BK Häcken,Allsvenskan,SWE,54,57,52,58,28,59,2,1
Mark McGinley,57,GK,Finn Harps,SSE Airtricity Lge,IRL,57,57,52,60,41,56,2,1
Kyriakos Stamatopoulos,57,GK,AIK,Allsvenskan,CAN,57,52,54,56,32,57,2,1
Joe Hilton,56,GK,Ross County FC,Scottish Prem,ENG,57,59,54,64,29,50,3,1
Joe Hilton,56,GK,Fleetwood Town,EFL League One,ENG,57,59,54,64,29,50,3,1
Ennio van der Gouw,56,GK,FC Twente,Eredivisie,NED,59,52,59,57,46,51,3,1
Joe Hilton,56,GK,Blackburn Rovers,EFL Championship,ENG,57,59,54,64,29,50,3,1
Andre Rawls,56,GK,Colorado Rapids,MLS,USA,58,56,67,58,38,53,2,1
Robin Jalving,56,GK,Heracles Almelo,Eredivisie,NED,58,53,58,59,26,53,2,1
Grégoire Coudert,56,GK,Stade Brestois 29,Ligue 1 Uber Eats,FRA,58,53,57,59,28,57,3,1
Joe Gauci,56,GK,Adelaide United,A-League,AUS,59,55,60,60,22,53,3,1
Mohammed Awaji,56,GK,Al Shabab,MBS Pro League,SAR,57,61,50,53,42,56,2,1
Akın Alkan,56,GK,Hatayspor,Süper Lig,TUR,60,59,60,54,19,50,3,1
Rodrigo Cerecedo,56,GK,Club Universidad Nacional,LIGA BBVA MX,MEX,53,59,52,55,28,55,3,1
Daiki Hotta,56,GK,Shonan Bellmare,Meiji Yasuda J1,JAP,57,53,48,58,23,55,3,1
Alexander Nilsson,56,GK,Helsingborgs IF,Allsvenskan,SWE,58,56,54,56,26,55,2,1
Robin Jalving,56,GK,FC Emmen,Eredivisie,NED,58,53,58,59,26,53,2,1
Albert Popa,56,GK,CS Gaz Metan Mediaș,Liga I,ROM,56,54,61,56,26,55,3,1
Ionuț Pop,56,GK,AFC Hermannstadt,Liga I,ROM,55,57,58,58,28,54,2,1
Toby Savin,56,GK,Accrington Stanley,EFL League One,ENG,59,56,54,58,28,54,3,1
Bao Yaxiong,56,GK,Hebei China Fortune FC,CSL,CPR,59,52,55,56,20,51,1,1
Hugo Constant,56,GK,AS Nancy Lorraine,Ligue 2 BKT,FRA,54,63,53,54,29,51,2,1
Conor Kearns,56,GK,St. Patrick's Athletic,SSE Airtricity Lge,IRL,57,53,59,58,30,52,1,1
Jonas Brauti,56,GK,Stabæk Fotball,Eliteserien,NOR,58,56,52,57,28,57,2,1
Mohammed Al Haeti,56,GK,Ettifaq FC,MBS Pro League,SAR,56,56,55,59,39,54,3,1
Ricardo Gutiérrez,56,GK,Mazatlán Fútbol Club,LIGA BBVA MX,MEX,54,56,59,57,23,57,2,1
Joe Gauci,56,GK,Melbourne City,A-League,AUS,59,55,60,60,22,53,3,1
Tobe Leysen,56,GK,KRC Genk,1A Pro League,BEL,60,54,49,58,30,54,2,1
Yuya Oki,56,GK,Kashima Antlers,Meiji Yasuda J1,JAP,57,52,59,61,36,50,2,1
Grégoire Coudert,56,GK,Amiens SC,Ligue 2 BKT,FRA,58,53,57,59,28,57,3,1
Matt Bersano,56,GK,San Jose Earthquakes,MLS,USA,56,51,60,58,36,54,2,1
Choi Cheol Won,56,GK,Sangju Sangmu FC,K League 1,KOR,58,56,55,54,29,55,2,1
Zhang Yan,56,GK,Jiangsu Suning FC,CSL,CPR,59,53,52,58,32,54,2,1
Mason Stajduhar,56,GK,Orlando City Soccer Club,MLS,USA,59,54,62,55,33,53,2,1
Thomas Heward-Belle,56,GK,Sydney FC,A-League,AUS,60,60,52,57,30,53,2,1
Louis Jones,56,GK,Doncaster Rovers,EFL League One,ENG,53,55,57,57,40,56,3,1
Tadhg Ryan,56,GK,Waterford FC,SSE Airtricity Lge,IRL,59,55,54,58,45,52,2,1
Kyle Zobeck,56,GK,FC Dallas,MLS,USA,56,55,55,56,43,55,1,1
Josh Griffiths,55,GK,West Bromwich Albion,Premier League,ENG,57,53,53,55,20,56,3,1
Ionuț Rus,55,GK,AFC Hermannstadt,Liga I,ROM,56,60,55,57,32,50,2,1
Peter Urminsky,55,GK,St. Mirren,Scottish Prem,SVK,59,55,57,54,28,53,3,1
Bobby Edwards,55,GK,FC Cincinnati,MLS,USA,59,52,58,54,31,51,2,1
Josh Griffiths,55,GK,Cheltenham Town,EFL League Two,ENG,57,53,53,55,20,56,3,1
Davy Rouyard,55,GK,FC Girondins de Bordeaux,Ligue 1 Uber Eats,FRA,55,54,51,56,26,51,2,1
Maxim Deman,55,GK,KV Kortrijk,1A Pro League,BEL,61,53,56,57,20,49,3,1
Ionuț Rus,55,GK,FC CFR 1907 Cluj,Liga I,ROM,56,60,55,57,32,50,2,1
Tom Amos,55,GK,IFK Göteborg,Allsvenskan,SWE,50,55,56,57,23,58,2,1
Nick Hayes,55,GK,Salford City,EFL League Two,ENG,52,55,56,54,22,52,3,1
Marcus Dewhurst,55,GK,Sheffield United,Premier League,ENG,55,54,58,56,32,53,2,1
Muzaffer Cem Kablan,55,GK,Karagümrük SK,Süper Lig,TUR,53,54,50,58,29,53,3,1
Arkadiusz Leszczyński,55,GK,Podbeskidzie,PKO Ekstraklasa,POL,53,57,58,58,22,54,1,1
Wim Vanmarsenille,55,GK,Sint-Truidense VV,1A Pro League,BEL,55,54,52,59,42,53,2,1
Shi Chenglong,55,GK,Henan Jianye FC,CSL,CPR,56,56,55,54,24,54,3,1
Jaimy Kroesen,55,GK,SC Heerenveen,Eredivisie,NED,54,50,60,55,27,55,2,1
Enock Mawete Mwimba,55,GK,Aalesunds FK,Eliteserien,NOR,57,52,55,62,25,54,3,1
Han Jiaqi,55,GK,Guangzhou R&F FC,CSL,CPR,56,58,57,57,22,54,3,1
Ross Sinclair,55,GK,St. Johnstone FC,Scottish Prem,SCO,54,55,55,54,24,52,3,1
Matthew Alexander,55,GK,Bolton Wanderers,EFL League Two,ENG,56,54,49,57,29,54,2,1
Lorenz Otto,55,GK,1. FC Kaiserslautern,3. Liga,GER,57,57,53,56,20,53,2,1
Florentin Bloch,55,GK,Toulouse FC,Ligue 2 BKT,FRA,53,59,54,53,25,53,3,1
Jordy Schelfhout,55,GK,KV Oostende,1A Pro League,BEL,57,51,54,62,31,47,3,1
Ahmadou Dia,55,GK,Olympique de Marseille,Ligue 1 Uber Eats,FRA,55,58,56,52,30,56,3,1
Mustafa Burak Bozan,55,GK,Gaziantep FK,Süper Lig,TUR,59,53,60,58,19,47,3,1
Phillip Ejimadu,55,GK,LAFC,MLS,USA,56,53,58,60,31,55,2,1
Trey Muse,55,GK,Seattle Sounders FC,MLS,USA,59,56,53,59,34,59,1,1
Genta Ito,55,GK,Vissel Kobe,Meiji Yasuda J1,JAP,56,56,49,60,33,48,2,1
Ryo Ishii,55,GK,Urawa Red Diamonds,Meiji Yasuda J1,JAP,56,57,53,59,30,48,2,1
Mads Hermansen,55,GK,Brøndby IF,3F Superliga,DEN,56,58,59,60,36,49,2,1
Abdullah Al Bahri,55,GK,Ettifaq FC,MBS Pro League,SAR,57,53,51,56,30,55,3,1
Marcus Dewhurst,55,GK,Carlisle United,EFL League Two,ENG,55,54,58,56,32,53,2,1
Jack Brady,55,GK,Shelbourne FC,SSE Airtricity Lge,IRL,55,55,54,55,38,54,2,1
